Timestamp	GazePointXLeft	GazePointYLeft	DistanceLeft	PupilLeftX	PupilLeftY	PupilArea	CRLeftX	CRLeftY	CRArea	ValidityLeft	GazePointXRight	GazePointYRight	DistanceRight	PupilRightX	PupilRightY	PupilArea	CRRightX	CRRightY	CRArea	ValidityRight
36260	-0.0466524682684221	-25.6915767951577	500	305.538709677419	228.310483870968	1240	292.15	222.75	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36269	0.220006998288909	-25.5935496329052	500	305.554838709677	228.35	1240	292.052631578947	222.842105263158	19	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36277	0.23057311692777	-25.5082991929118	500	305.454838709677	228.370967741935	1240	291.95	222.9	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36285	-0.0485727899734872	-25.1455668604571	500	305.375300721732	228.327185244587	1247	292	223	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36294	0.254925688440211	-25.451266053353	500	305.514101531023	228.445608380338	1241	292	223	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36302	-0.0771890653289242	-25.2694012269756	500	305.36569579288	228.381067961165	1236	292	223	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36310	0.0479533930756916	-25.4582009478332	500	305.424413904608	228.456750202102	1237	292	223	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36319	-0.212501932937485	-25.5182322488823	500	305.312600969305	228.492730210016	1238	292	223	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36327	-0.0814600731474505	-25.5605289290852	500	305.370550161812	228.505663430421	1236	292	223	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36335	-0.134824883679198	-25.468899491955	500	305.208870967742	228.468548387097	1240	291.863636363636	223	22	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36344	-0.14470955129444	-24.8063921631768	500	305.189381933439	228.187004754358	1262	291.863636363636	223	22	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36352	-0.293234137560131	-24.4714955494734	500	305.117088607595	228.051424050633	1264	291.863636363636	223	22	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36360	-0.119758790668599	-24.7317364177814	500	305.144435674822	228.059194948698	1267	291.809523809524	222.904761904762	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36369	-0.189329541955407	-24.5550642429415	500	305.110142630745	227.987321711569	1262	291.809523809524	222.904761904762	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36377	0.29616756706537	-24.687123578791	500	305.32428115016	228.023961661342	1252	291.809523809524	222.904761904762	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36385	-0.323223692443532	-24.5132279921431	500	304.991324921136	228.070189274448	1268	291.75	223	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36394	-4.75397084077956	-25.1462228904402	500	301.79766536965	229.014007782101	1285	290.5	223.5	16	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36402	-10.6968952597722	-27.9531377347306	500	296.637154150198	231.038735177866	1265	288	224.055555555556	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36410	-13.4678201515039	-30.5620175860384	500	292.508757297748	233.71142618849	1199	285.117647058824	225.411764705882	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36419	-19.9023537017484	-31.5941780325716	500	287.475680131904	236.035449299258	1213	283.380952380952	226.952380952381	21	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36427	-23.0635904701811	-33.1554069520204	500	283.647203947368	237.936677631579	1216	281.266666666667	227.933333333333	15	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36435	-26.8021497736554	-34.1012024418575	500	280.200331125828	239.49917218543	1208	280.058823529412	228.823529411765	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36444	-28.9932702761966	-35.9425801675207	500	277.464163822526	241.289249146758	1172	278.647058823529	229.529411764706	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36452	-30.5814523556843	-38.6546161068256	500	275.040888888889	242.942222222222	1125	277.117647058824	229.588235294118	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36460	-31.0749583844959	-39.7460705253081	500	274.496849684968	243.908190819082	1111	276.833333333333	229.888888888889	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36469	-30.6145083372658	-39.4081824329853	500	274.795575221239	243.681415929204	1130	276.833333333333	229.888888888889	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36477	-30.9282342011575	-39.5914856841831	500	274.491949910555	244.12969588551	1118	276.736842105263	230.210526315789	19	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36485	-33.9441796451672	-36.5490804654864	500	271.831578947368	242.60971659919	1235	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36494	-30.844876689101	-39.2255977017134	500	274.394690265487	243.922123893805	1130	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36502	-30.5125302139679	-39.8479222260895	500	274.682226211849	244.26750448833	1114	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36510	-34.60841793456	-36.586332813537	500	271.297752808989	242.673354735152	1246	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36519	-34.7579922968498	-36.3104237578564	500	271.150554675119	242.533280507132	1262	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36527	-34.5493435006323	-36.7843356782312	500	271.363563402889	242.777688603531	1246	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36535	-31.0287606801163	-38.6615663961328	500	274.184027777778	243.753472222222	1152	276.578947368421	230.368421052632	19	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36544	-30.8035336651138	-39.4489353471619	500	274.442882249561	244.050087873462	1138	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36552	-30.4400549391343	-39.7538199171448	500	274.725177304965	244.207446808511	1128	276.611111111111	230.222222222222	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36560	-30.7788568398914	-39.5194250561851	500	274.561125769569	244.16182937555	1137	276.705882352941	230.294117647059	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36569	-30.4579717871962	-39.6222142276838	500	274.796312554873	244.202809482002	1139	276.705882352941	230.294117647059	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36577	-30.6551624162466	-39.3292259305958	500	274.63277826468	244.042944785276	1141	276.705882352941	230.294117647059	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36585	-31.2603890311279	-38.4474888055299	500	274.126279863481	243.570819112628	1172	276.705882352941	230.294117647059	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36594	-31.0792766220759	-38.7362773609927	500	274.280898876404	243.725151253241	1157	276.705882352941	230.294117647059	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36602	-30.9519359787151	-39.6427752260232	500	274.44845814978	244.244933920705	1135	276.705882352941	230.294117647059	17	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36610	-31.3320671756487	-38.5683051511872	500	274.21188630491	243.627906976744	1161	276.833333333333	230.277777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36619	-30.9760073888085	-39.7867913266008	500	274.571050308914	244.315092674316	1133	276.833333333333	230.277777777778	18	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36627	-31.9593080030794	-40.2103888251208	500	274.51273046532	245.550482879719	1139	277.45	231.2	20	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36635	-32.5437219488085	-41.818486715715	500	274.471781305115	247.373897707231	1134	277.692307692308	232	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36644	-32.7713105991759	-42.9555802723217	500	274.277033065237	248.448614834674	1119	277.555555555556	232.333333333333	9	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36652	-32.643445894467	-42.8398120395203	500	274.35067264574	248.668161434978	1115	277.545454545455	232.636363636364	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36660	-32.3805321954296	-42.4007005356114	500	274.229623137599	248.550394390885	1141	277.272727272727	232.818181818182	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36669	-32.5447883311617	-42.3502687626828	500	274.102966841187	248.528795811518	1146	277.272727272727	232.818181818182	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36677	-32.6631056908235	-42.8000439273715	500	274.059344552702	248.825509300266	1129	277.272727272727	232.818181818182	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36685	-32.5430600784321	-42.8111897041091	500	273.97695035461	248.806737588652	1128	277.1	232.8	10	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36694	-32.0322572803602	-42.9436956339271	500	273.901960784314	248.9688057041	1122	276.636363636364	232.909090909091	11	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36702	-32.1301651998568	-43.0512732288857	500	273.788067675868	248.886019590383	1123	276.583333333333	232.75	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36710	-32.0581771348487	-43.0673003045588	500	273.84219858156	248.891843971631	1128	276.583333333333	232.75	12	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36719	-32.1224504985029	-42.8985620446401	500	273.656862745098	248.882352941176	1122	276.461538461538	232.846153846154	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36727	-32.0055882260684	-43.2855884734059	500	273.780289330922	249.127486437613	1106	276.461538461538	232.846153846154	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36735	-32.2099805992789	-42.9590784124879	500	273.598743267504	248.927289048474	1114	276.461538461538	232.846153846154	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36744	-32.2393477067637	-43.0179774601622	500	273.583032490975	248.967509025271	1108	276.461538461538	232.846153846154	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36752	-31.9469410173346	-42.8029245144977	500	273.671087533156	248.677276746242	1131	276.357142857143	232.714285714286	14	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36760	-32.2428713830969	-43.1543581621549	500	273.489592760181	248.924886877828	1105	276.357142857143	232.714285714286	14	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36769	-37.0896468765986	-39.1226774233905	500	269.194401244168	246.898133748056	1286	276.384615384615	232.846153846154	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36777	-32.2991624570976	-43.0838337941402	500	273.314882032668	248.937386569873	1102	276.230769230769	232.769230769231	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36785	-36.9118983551219	-39.4428149716362	500	269.231803797468	246.996044303797	1264	276.230769230769	232.769230769231	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36794	-32.1929464318701	-43.5542939722899	500	273.670577617328	249.31678700361	1108	276.461538461538	232.846153846154	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36802	-31.0897284706762	-44.2240489929105	500	275.451523545706	250.386888273315	1083	277.384615384615	233.538461538462	13	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
36810	-30.4500059686387	-44.9580622429745	500	276.870697674419	250.953488372093	1075	278.285714285714	233.642857142857	14	0	0.000000	0.000000	0	0.000000	0.000000	0	0.000000	0.000000	0	4
