subj,arch,appr,ArchAppr,rep,acc
15,2,1,3,5,0.557120781
15,2,1,3,6,0.541452469
15,2,1,3,7,0.544273738
15,2,1,3,8,0.57487106
15,2,1,3,9,0.583196437
15,2,1,3,10,0.542970338
15,2,2,4,1,0.546628395
15,2,2,4,2,0.532034377
15,2,2,4,3,0.533302084
15,2,2,4,4,0.526021176
15,2,2,4,5,0.541243174
15,2,2,4,6,0.544161723
15,2,2,4,7,0.545872855
15,2,2,4,8,0.555491126
15,2,2,4,9,0.54548909
15,2,2,4,10,0.543636345
16,1,1,1,1,0.85078179
16,1,1,1,2,0.924660851
16,1,1,1,3,0.896540594
16,1,1,1,4,0.894605732
16,1,1,1,5,0.884070484
16,1,1,1,6,0.88311555
16,1,1,1,7,0.90331937
16,1,1,1,8,0.910577661
16,1,1,1,9,0.866736702
16,1,1,1,10,0.863410907
16,1,2,2,1,0.881599621
16,1,2,2,2,0.883164216
16,1,2,2,3,0.875901207
16,1,2,2,4,0.899367074
16,1,2,2,5,0.892038054
16,1,2,2,6,0.868793752
16,1,2,2,7,0.881041376
16,1,2,2,8,0.881728132
16,1,2,2,9,0.880148373
16,1,2,2,10,0.869162659
16,2,1,3,1,0.594804428
16,2,1,3,2,0.592666209
16,2,1,3,3,0.586595914
16,2,1,3,4,0.612060035
16,2,1,3,5,0.617587999
16,2,1,3,6,0.596458731
16,2,1,3,7,0.596709163
16,2,1,3,8,0.612594329
16,2,1,3,9,0.610962872
16,2,1,3,10,0.586834131
16,2,2,4,1,0.539587658
16,2,2,4,2,0.541844578
16,2,2,4,3,0.535366592
16,2,2,4,4,0.531459571
16,2,2,4,5,0.524748115
16,2,2,4,6,0.536643784
16,2,2,4,7,0.548384509
16,2,2,4,8,0.530419535
16,2,2,4,9,0.545674381
16,2,2,4,10,0.539552976
17,1,1,1,1,0.71661492
17,1,1,1,2,0.703331088
17,1,1,1,3,0.715131923
17,1,1,1,4,0.731646919
17,1,1,1,5,0.737537293
17,1,1,1,6,0.734142045
17,1,1,1,7,0.718892529
17,1,1,1,8,0.711265244
17,1,1,1,9,0.724635871
17,1,1,1,10,0.723364723
17,1,2,2,1,0.745270046
17,1,2,2,2,0.738946945
17,1,2,2,3,0.725314542
17,1,2,2,4,0.733759994
17,1,2,2,5,0.717131629
17,1,2,2,6,0.726818838
17,1,2,2,7,0.743207859
17,1,2,2,8,0.723793898
17,1,2,2,9,0.736909333
17,1,2,2,10,0.749810719
17,2,1,3,1,0.641736666
17,2,1,3,2,0.636943325
17,2,1,3,3,0.638204273
17,2,1,3,4,0.642596812
17,2,1,3,5,0.650990274
17,2,1,3,6,0.622117192
17,2,1,3,7,0.638383456
17,2,1,3,8,0.630681333
17,2,1,3,9,0.631691989
17,2,1,3,10,0.625609124
17,2,2,4,1,0.578692763
17,2,2,4,2,0.574079159
17,2,2,4,3,0.582983995
17,2,2,4,4,0.566330534
17,2,2,4,5,0.575613049
17,2,2,4,6,0.584512404
17,2,2,4,7,0.584312679
17,2,2,4,8,0.576935884
17,2,2,4,9,0.570082359
17,2,2,4,10,0.581181054
18,1,1,1,1,0.478960081
18,1,1,1,2,0.475632886
18,1,1,1,3,0.476534014
18,1,1,1,4,0.473003529
18,1,1,1,5,0.486437928
18,1,1,1,6,0.478113761
18,1,1,1,7,0.490057022
18,1,1,1,8,0.47329509
18,1,1,1,9,0.474624497
18,1,1,1,10,0.480098575
18,1,2,2,1,0.532384576
18,1,2,2,2,0.556109767
18,1,2,2,3,0.530851494
18,1,2,2,4,0.523219855
18,1,2,2,5,0.530306653
18,1,2,2,6,0.545853928
18,1,2,2,7,0.610597645
18,1,2,2,8,0.528863405
18,1,2,2,9,0.562282284
18,1,2,2,10,0.525715378
18,2,1,3,1,0.421233684
